text,label
abandonment nonsupport of etc child under years,violate custody order; interfere with custody; non-support
abstraction by bank employee misdemeanor,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
abuse endanger child wilfully harm child,child abuse; endanger the welfare of a child
abusing or endangering health of child,child abuse; endanger the welfare of a child
access device fraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
access device fraud aggregate loss exceeding,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
access device fraud aiding and abetting,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
access device making equipment,possession of an instrument of crime; possession of a burglary tool
accessory after the fact,kidnapping; unlawfully transport a person; false imprisonment
acq retain access card info consent fraudulent use,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
acquire access card consnt with intent to sell etc,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
acquire access card validity consent,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
acquire access cards using different names,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
acquire controlled substance by fraud felony,violate controlled/dangerous substance act; drug abuse
acquiring access card without consent,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
acquiring controlled substance by misrepresentation,violate controlled/dangerous substance act; drug abuse
act is accompanied by force or by an express or implied threat of force or violence upon witness or victim or any third person or the property of any victim witness or any third person,threats to injure; terroristic threats; intimidation
acts constituting forgery,forgery; possession of forged documents; conspiracy to forge
acts constituting theft,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
acts or represents themselves to be private patrol operator,identity theft
ad importation of controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
addict drive vehicle,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
adult disrupt school activities,disorderly conduct
adult give etc cntrl subst narcotic to minor,contribute to the delinquency of a minor
adult use of cell phone without hands free device,cell phone or distracted driving
