,text,label
0,abandonment nonsupport of etc child under years,violate custody order; interfere with custody; non-support
1,abstraction by bank employee misdemeanor,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
2,abuse endanger child wilfully harm child,child abuse; endanger the welfare of a child
3,abusing or endangering health of child,child abuse; endanger the welfare of a child
4,access device fraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
5,access device fraud aggregate loss exceeding,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
6,access device fraud aiding and abetting,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
7,access device making equipment,possession of an instrument of crime; possession of a burglary tool
8,accessory after the fact,kidnapping; unlawfully transport a person; false imprisonment
9,acq retain access card info consent fraudulent use,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
10,acquire access card consnt with intent to sell etc,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
11,acquire access card validity consent,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
12,acquire access cards using different names,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
13,acquire controlled substance by fraud felony,violate controlled/dangerous substance act; drug abuse
14,acquiring access card without consent,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
15,acquiring controlled substance by misrepresentation,violate controlled/dangerous substance act; drug abuse
16,act is accompanied by force or by an express or implied threat of force or violence upon witness or victim or any third person or the property of any victim witness or any third person,threats to injure; terroristic threats; intimidation
17,acts constituting forgery,forgery; possession of forged documents; conspiracy to forge
18,acts constituting theft,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
19,acts or represents themselves to be private patrol operator,identity theft
20,ad importation of controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
21,addict drive vehicle,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
22,adult disrupt school activities,disorderly conduct
23,adult give etc cntrl subst narcotic to minor,contribute to the delinquency of a minor
24,adult use of cell phone without hands free device,cell phone or distracted driving
25,adw not firearm on po firefighter gbi likely,assault and/or battery
26,adw not firearm on police firefighter gbi likely,assault and/or battery
27,adw on po fire,assault and/or battery
28,adw other than firearm or gbi,assault and/or battery
29,after curfew in city park,trespassing; remain in area closed to public
30,agg sexual aslt minor force felony amended to lewd act child under felony,lewd behavior; sex offense; offensive touching
31,aggravate identity theft causing an act to be done,identity theft
32,aggravated battery,assault and/or battery
33,aggravated identification theft,identity theft
34,aggravated identify theft,identity theft
